id,code,permits,statewide,federal,limited,degree,degree_weighted,avg_edge_weight,closeness_centrality,cluster
B-5-B,B-R-ST,129,1,0,U,39,98,3,0.6,4
B-6-B,B-L-ST,2261,1,1,U,106,3613,34,0.96,1
B-26-B,B-J-ST,53,1,0,U,51,107,2,0.65,2
C-5-E,C-R-SE,53,0,0,LE,26,103,4,0.56,3
C-6-A,C-L-SE,88,0,0,LE,42,237,6,0.61,1
C-6-B,C-L-ST,625,1,1,U,85,1500,18,0.8,1
C-6-C,C-L-SE,23,0,0,LE,32,80,3,0.58,1
C-9-B,C-P-ST,14,1,1,U,24,30,1,0.55,2
D-9-A,D-P-SE,279,0,0,LE,59,468,8,0.67,1
D-9-H,D-P-SE,70,0,0,LE,36,73,2,0.59,3
D-9-J,D-P-A,27,0,0,U,29,67,2,0.57,2
D-9-M,D-P-A,7,0,0,U,27,18,1,0.56,2
E-91-QV,E-P-A,13,0,0,OTHER,0,0,NA,0,7
F-4-B,O-G-ST,72,1,0,U,14,46,3,0.53,4
G-1-A,H-S-SE,49,0,0,LE,55,201,4,0.66,3
G-1-E,H-S-SE,105,0,0,LE,51,289,6,0.65,3
G-1-H,H-S-SE,75,0,0,LE,44,220,5,0.62,3
G-1-K,H-S-U,70,0,0,LE,48,251,5,0.63,2
G-1-M,H-S-A,9,0,0,U,33,57,2,0.58,2
G-1-T,H-S-U,32,0,0,U,48,138,3,0.63,2
G-2-Z,H-S-N,6,0,0,LE,17,12,1,0.54,1
G-34-A,H-G-SE,112,0,0,LE,46,263,6,0.62,1
G-34-E,H-G-SE,24,0,0,LE,13,39,3,0.53,3
G-34-H,H-G-SE,34,0,0,U,9,37,4,0.51,3
G-34-K,H-G-U,91,0,0,LE,50,220,4,0.64,2
G-34-N,H-G-N,128,0,0,LE,16,87,5,0.53,4
G-34-S,H-G-N,18,0,0,U,12,37,3,0.53,4
G-34-T,H-G-U,64,0,0,U,21,104,5,0.55,4
G-34-U,H-G-N,33,0,0,LE,12,30,3,0.52,4
G-34-V,H-G-N,10,0,0,U,9,16,2,0.51,4
G-34-W,H-G-N,122,0,0,LE,13,114,9,0.53,4
G-34-Y,H-G-N,55,0,0,LE,10,15,2,0.52,4
G-34-Z,H-G-N,260,0,0,LE,60,205,3,0.68,4
H-1-A,H-S-SE,6,0,0,U,25,33,1,0.55,1
H-1-M,H-S-A,8,0,0,U,23,33,1,0.55,2
I-5-B,G-R-ST,28,1,0,U,25,41,2,0.56,1
I-6-B,G-L-ST,22,1,0,U,45,63,1,0.62,1
I-25-B,G-R-ST,98,1,0,U,36,233,6,0.59,1
I-26-B,G-J-ST,24,1,0,U,45,65,1,0.62,2
J-11-A,O-D-SE,94,0,0,LE,40,188,5,0.6,5
K-9-O,K-P-A,8,0,1,U,16,13,1,0.53,2
K-9-OA,K-P-O,4,0,0,OTHER,9,9,1,0.5,2
K-9-Q,K-P-A,8,0,1,U,19,21,1,0.54,2
K-9-T,K-P-U,75,0,1,U,31,167,5,0.58,2
K-9-TA,K-P-U,12,0,0,OTHER,14,41,3,0.53,2
K-9-Z,K-P-N,57,0,0,U,15,71,5,0.53,4
K-9-ZE,K-P-N,12,0,0,OTHER,10,27,3,0.52,4
K-19-A,K-P-SE,5,0,0,LE,20,22,1,0.54,1
K-29-A,K-P-SE,7,0,0,LE,18,25,1,0.54,1
K-39-A,K-P-SE,8,0,0,LE,20,26,1,0.54,1
K-49-A,K-P-SE,17,0,0,LE,32,65,2,0.58,1
K-59-A,K-P-SE,6,0,1,LE,18,24,1,0.54,1
K-69-A,K-P-SE,32,0,0,LE,28,114,4,0.57,1
L-12-T,H-O-U,265,0,0,LE,38,151,4,0.6,4
L-21-A,H-O-SE,110,0,0,LE,44,320,7,0.62,1
L-21-C,H-O-SE,173,0,0,LE,47,355,8,0.63,1
L-21-E,H-O-SE,128,0,0,LE,50,121,2,0.64,3
M-5-B,G-R-ST,57,1,0,U,51,58,1,0.65,1
M-6-B,G-L-ST,432,1,1,OTHER,98,1128,12,0.89,1
M-7-B,G-T-ST,295,1,1,OTHER,46,134,3,0.62,2
M-9-B,G-P-ST,247,1,1,OTHER,70,607,9,0.73,2
M-25-B,G-R-ST,12,1,0,U,37,37,1,0.59,1
M-26-B,G-J-ST,404,1,0,U,80,735,9,0.78,2
O-9-B,O-P-ST,28,1,0,U,43,106,2,0.61,2
P-9-A,P-P-SE,273,0,0,LE,63,587,9,0.69,1
P-9-D,P-P-SE,9,0,0,U,17,19,1,0.53,1
P-9-E,P-P-SE,93,0,0,U,50,117,2,0.64,3
P-9-J,P-P-A,7,0,0,U,18,22,1,0.53,2
P-17-A,P-T-SE,26,0,0,LE,21,64,3,0.54,1
Q-11-A,Q-D-SE,320,0,0,LE,63,455,7,0.69,5
Q-11-B,Q-D-ST,7,1,0,U,26,12,0,0.56,5
Q-11-K,Q-D-U,25,0,0,U,23,31,1,0.56,5
R-18-B,O-O-ST,30,1,0,U,8,5,1,0.51,3
S-1-A,S-S-SE,358,0,0,LE,68,626,9,0.72,1
S-1-E,S-S-SE,262,0,0,LE,60,358,6,0.68,3
S-1-H,S-S-SE,83,0,0,LE,30,72,2,0.58,3
S-1-K,S-S-U,365,0,0,LE,77,592,8,0.76,2
S-1-L,S-S-U,92,0,0,LE,42,98,2,0.61,2
S-1-M,S-S-A,116,0,0,LE,61,243,4,0.69,2
S-2-K,S-S-U,31,0,0,LE,13,19,1,0.52,2
S-3-A,S-G-SE,472,0,0,LE,59,567,10,0.67,1
S-3-E,S-G-SE,535,0,0,LE,54,334,6,0.66,3
S-3-H,S-G-SE,568,0,0,LE,57,325,6,0.67,1
S-3-M,S-G-A,160,0,0,LE,51,136,3,0.65,2
S-3-T,S-G-U,1844,0,0,LE,93,647,7,0.86,4
S-4-D,S-G-SE,167,0,0,LE,39,91,2,0.6,1
S-4-E,S-G-SE,29,0,0,LE,7,6,1,0.51,3
S-4-H,S-G-SE,697,0,0,LE,34,75,2,0.58,3
S-4-K,S-G-U,176,0,0,LE,22,68,3,0.55,2
S-4-M,S-G-A,113,0,0,LE,40,145,4,0.61,2
S-4-P,S-G-N,57,0,0,LE,2,6,3,0.35,4
S-4-T,S-G-U,952,0,0,LE,42,96,2,0.61,4
S-4-W,S-G-N,737,0,0,LE,28,97,3,0.57,4
S-4-X,S-G-N,159,0,0,LE,5,4,1,0.44,4
S-4-Y,S-G-N,668,0,0,LE,31,93,3,0.58,4
S-4-Z,S-G-N,172,0,0,LE,10,76,8,0.52,4
S-5-B,S-R-ST,1038,1,0,LE,60,663,11,0.68,1
S-8-P,S-W-N,112,0,0,LE,5,11,2,0.48,4
S-15-B,S-R-ST,961,1,0,LE,67,1074,16,0.71,1
T-9-L,T-P-U,11,0,0,U,29,32,1,0.57,2
T-9-M,T-P-A,49,0,0,U,37,141,4,0.59,2
T-9-O,T-P-A,11,0,0,U,36,22,1,0.59,2
T-9-Q,T-P-A,92,0,1,U,31,184,6,0.57,2
T-9-QA,T-P-A,18,0,0,OTHER,15,53,4,0.53,2
T-10-A,T-O-SE,34,0,0,U,31,97,3,0.58,1
T-19-A,T-P-SE,24,0,0,LE,31,76,2,0.57,1
TB-9-AK,T-P-O,175,0,0,LE,62,506,8,0.69,2
U-11-A,O-D-SE,68,0,0,LE,28,98,3,0.56,5
W-22-B,O-O-ST,7,1,0,U,23,7,0,0.55,1
W-22-BV,O-O-O,6,0,0,LE,3,0,0,0.39,6
Y-5-A,G-R-SE,5,0,0,U,19,15,1,0.54,1
Y-6-A,G-L-SE,89,0,0,U,44,323,7,0.62,1
Y-26-A,G-J-SE,7,0,0,U,23,29,1,0.55,1
