id,cluster,species,gear,area,x,y,permits,statewide,federal,limited,degree,degree_weighted,avg_edge_weight,closeness_centrality
B-5-B,4,B,5,B,,,129,1,0,U,39,98,3,0.6
B-6-B,1,B,6,B,,,2261,1,1,U,106,3613,34,0.96
B-26-B,2,B,26,B,,,53,1,0,U,51,107,2,0.65
C-5-E,3,C,5,E,73.4295826,37.03045945,53,0,0,LE,26,103,4,0.56
C-6-A,1,C,6,A,79.4741458,31.87649291,88,0,0,LE,42,237,6,0.61
C-6-B,1,C,6,B,,,625,1,1,U,85,1500,18,0.8
C-6-C,1,C,6,C,97.66543696,44.81573736,23,0,0,LE,32,80,3,0.58
C-9-B,2,C,9,B,,,14,1,1,U,24,30,1,0.55
D-9-A,1,D,9,A,79.48145387,38.36027234,279,0,0,LE,59,468,8,0.67
D-9-H,3,D,9,H,64.47189041,31.701976,70,0,0,LE,36,73,2,0.59
D-9-J,2,D,9,J,10.49052681,44.3464995,27,0,0,U,29,67,2,0.57
D-9-M,2,D,9,M,29.28581688,51.2253187,7,0,0,U,27,18,1,0.56
E-91-QV,7,E,91,QV,39.08956319,8.949376076,13,0,0,OTHER,0,0,NA,0
F-4-B,4,F,4,B,,,72,1,0,U,14,46,3,0.53
G-1-A,3,G,1,A,82.4619245,41.41381003,49,0,0,LE,55,201,4,0.66
G-1-E,3,G,1,E,68.85180881,31.87093857,105,0,0,LE,51,289,6,0.65
G-1-H,3,G,1,H,62.39650877,34.32994789,75,0,0,LE,44,220,5,0.62
G-1-K,2,G,1,K,60.79589141,43.74457888,70,0,0,LE,48,251,5,0.63
G-1-M,2,G,1,M,39.42905052,50.316506,9,0,0,U,33,57,2,0.58
G-1-T,2,G,1,T,50.87648956,42.19107906,32,0,0,U,48,138,3,0.63
G-2-Z,1,G,2,Z,48.65326075,24.03592647,6,0,0,LE,17,12,1,0.54
G-34-A,1,G,34,A,89.2940951,46.27522117,112,0,0,LE,46,263,6,0.62
G-34-E,3,G,34,E,66.21279847,33.55009886,24,0,0,LE,13,39,3,0.53
G-34-H,3,G,34,H,63.11863661,37.34939938,34,0,0,U,9,37,4,0.51
G-34-K,2,G,34,K,57.14495688,41.78625688,91,0,0,LE,50,220,4,0.64
G-34-N,4,G,34,N,41.80044928,29.30965247,128,0,0,LE,16,87,5,0.53
G-34-S,4,G,34,S,46.0948981,37.92190478,18,0,0,U,12,37,3,0.53
G-34-T,4,G,34,T,43.90509701,39.75286269,64,0,0,U,21,104,5,0.55
G-34-U,4,G,34,U,36.82096607,29.44644221,33,0,0,LE,12,30,3,0.52
G-34-V,4,G,34,V,42.18135303,33.29144809,10,0,0,U,9,16,2,0.51
G-34-W,4,G,34,W,39.74497666,31.10686011,122,0,0,LE,13,114,9,0.53
G-34-Y,4,G,34,Y,40.00080979,27.20760943,55,0,0,LE,10,15,2,0.52
G-34-Z,4,G,34,Z,48.1215359,19.72008635,260,0,0,LE,60,205,3,0.68
H-1-A,1,H,1,A,86.73225231,45.36044079,6,0,0,U,25,33,1,0.55
H-1-M,2,H,1,M,41.00400491,49.97046778,8,0,0,U,23,33,1,0.55
I-5-B,1,I,5,B,,,28,1,0,U,25,41,2,0.56
I-6-B,1,I,6,B,,,22,1,0,U,45,63,1,0.62
I-25-B,1,I,25,B,,,98,1,0,U,36,233,6,0.59
I-26-B,2,I,26,B,,,24,1,0,U,45,65,1,0.62
J-11-A,5,J,11,A,82.55132209,45.04245851,94,0,0,LE,40,188,5,0.6
K-9-O,2,K,9,O,37.0159238,45.63695217,8,0,1,U,16,13,1,0.53
K-9-OA,2,K,9,OA,38.95548874,44.91677536,4,0,0,OTHER,9,9,1,0.5
K-9-Q,2,K,9,Q,12.93869754,45.56088186,8,0,1,U,19,21,1,0.54
K-9-T,2,K,9,T,42.1501586,46.16787639,75,0,1,U,31,167,5,0.58
K-9-TA,2,K,9,TA,40.35652371,45.76077985,12,0,0,OTHER,14,41,3,0.53
K-9-Z,4,K,9,Z,50.2357382,22.00849664,57,0,0,U,15,71,5,0.53
K-9-ZE,4,K,9,ZE,46.94139243,21.69095617,12,0,0,OTHER,10,27,3,0.52
K-19-A,1,K,19,A,97.85676665,41.9114956,5,0,0,LE,20,22,1,0.54
K-29-A,1,K,29,A,94.85518499,43.41200757,7,0,0,LE,18,25,1,0.54
K-39-A,1,K,39,A,84.28809841,43.63098633,8,0,0,LE,20,26,1,0.54
K-49-A,1,K,49,A,94.16355382,39.07348519,17,0,0,LE,32,65,2,0.58
K-59-A,1,K,59,A,87.9505908,43.70745226,6,0,1,LE,18,24,1,0.54
K-69-A,1,K,69,A,86.58059038,32.41951741,32,0,0,LE,28,114,4,0.57
L-12-T,4,L,12,T,51.63478972,40.06843766,265,0,0,LE,38,151,4,0.6
L-21-A,1,L,21,A,92.15978972,37.21926829,110,0,0,LE,44,320,7,0.62
L-21-C,1,L,21,C,92.10530364,46.32329681,173,0,0,LE,47,355,8,0.63
L-21-E,3,L,21,E,72.5512876,34.59984394,128,0,0,LE,50,121,2,0.64
M-5-B,1,M,5,B,,,57,1,0,U,51,58,1,0.65
M-6-B,1,M,6,B,,,432,1,1,OTHER,98,1128,12,0.89
M-7-B,2,M,7,B,,,295,1,1,OTHER,46,134,3,0.62
M-9-B,2,M,9,B,,,247,1,1,OTHER,70,607,9,0.73
M-25-B,1,M,25,B,,,12,1,0,U,37,37,1,0.59
M-26-B,2,M,26,B,,,404,1,0,U,80,735,9,0.78
O-9-B,2,O,9,B,,,28,1,0,U,43,106,2,0.61
P-9-A,1,P,9,A,85.82872084,41.40593106,273,0,0,LE,63,587,9,0.69
P-9-D,1,P,9,D,79.15455772,34.93130952,9,0,0,U,17,19,1,0.53
P-9-E,3,P,9,E,66.8996275,35.68678514,93,0,0,U,50,117,2,0.64
P-9-J,2,P,9,J,23.16787153,49.7150583,7,0,0,U,18,22,1,0.53
P-17-A,1,P,17,A,91.74285286,40.92282788,26,0,0,LE,21,64,3,0.54
Q-11-A,5,Q,11,A,79.55437985,41.56573432,320,0,0,LE,63,455,7,0.69
Q-11-B,5,Q,11,B,,,7,1,0,U,26,12,0,0.56
Q-11-K,5,Q,11,K,59.89369981,46.73937935,25,0,0,U,23,31,1,0.56
R-18-B,3,R,18,B,,,30,1,0,U,8,5,1,0.51
S-1-A,1,S,1,A,84.0782864,34.52572312,358,0,0,LE,68,626,9,0.72
S-1-E,3,S,1,E,70.73364245,37.71799052,262,0,0,LE,60,358,6,0.68
S-1-H,3,S,1,H,66.35302741,39.27080218,83,0,0,LE,30,72,2,0.58
S-1-K,2,S,1,K,56.6776032,45.98404663,365,0,0,LE,77,592,8,0.76
S-1-L,2,S,1,L,49.57030363,47.59762848,92,0,0,LE,42,98,2,0.61
S-1-M,2,S,1,M,46.34684585,49.68012069,116,0,0,LE,61,243,4,0.69
S-2-K,2,S,2,K,61.94157454,44.90171733,31,0,0,LE,13,19,1,0.52
S-3-A,1,S,3,A,85.65162144,37.97476973,472,0,0,LE,59,567,10,0.67
S-3-E,3,S,3,E,70.77753672,35.49165551,535,0,0,LE,54,334,6,0.66
S-3-H,1,S,3,H,60.34978186,36.48838047,568,0,0,LE,57,325,6,0.67
S-3-M,2,S,3,M,36.60359927,51.35906035,160,0,0,LE,51,136,3,0.65
S-3-T,4,S,3,T,46.52777361,43.57252737,1844,0,0,LE,93,647,7,0.86
S-4-D,1,S,4,D,79.60848692,36.6752826,167,0,0,LE,39,91,2,0.6
S-4-E,3,S,4,E,70.39997973,33.03099193,29,0,0,LE,7,6,1,0.51
S-4-H,3,S,4,H,62.93466327,41.33630843,697,0,0,LE,34,75,2,0.58
