id,cluster,species,gear,area,x,y
B-6-B,1,B,6,B,,
C-6-A,1,C,6,A,79.4741458,31.87649291
C-6-B,1,C,6,B,,
C-6-C,1,C,6,C,97.66543696,44.81573736
D-9-A,1,D,9,A,79.48145387,38.36027234
G-2-Z,1,G,2,Z,48.65326075,24.03592647
G-34-A,1,G,34,A,89.2940951,46.27522117
H-1-A,1,H,1,A,86.73225231,45.36044079
I-25-B,1,I,25,B,,
I-5-B,1,I,5,B,,
I-6-B,1,I,6,B,,
K-19-A,1,K,19,A,97.85676665,41.9114956
K-29-A,1,K,29,A,94.85518499,43.41200757
K-39-A,1,K,39,A,84.28809841,43.63098633
K-49-A,1,K,49,A,94.16355382,39.07348519
K-59-A,1,K,59,A,87.9505908,43.70745226
K-69-A,1,K,69,A,86.58059038,32.41951741
L-21-A,1,L,21,A,92.15978972,37.21926829
L-21-C,1,L,21,C,92.10530364,46.32329681
M-5-B,1,M,5,B,,
M-6-B,1,M,6,B,,
M-25-B,1,M,25,B,,
P-9-A,1,P,9,A,85.82872084,41.40593106
P-9-D,1,P,9,D,79.15455772,34.93130952
P-17-A,1,P,17,A,91.74285286,40.92282788
S-1-A,1,S,1,A,84.0782864,34.52572312
S-3-A,1,S,3,A,85.65162144,37.97476973
S-3-H,1,S,3,H,60.34978186,36.48838047
S-4-D,1,S,4,D,79.60848692,36.6752826
S-5-B,1,S,5,B,,
S-15-B,1,S,15,B,,
T-10-A,1,T,10,A,82.38916799,32.15331965
T-19-A,1,T,19,A,82.0367394,35.84229066
W-22-B,1,W,22,B,,
Y-5-A,1,Y,5,A,88.46489578,33.57631796
Y-6-A,1,Y,6,A,89.31279945,36.75870804
Y-26-A,1,Y,26,A,82.06323653,38.60943226
B-26-B,2,B,26,B,,
C-9-B,2,C,9,B,,
D-9-J,2,D,9,J,10.49052681,44.3464995
D-9-M,2,D,9,M,29.28581688,51.2253187
G-1-K,2,G,1,K,60.79589141,43.74457888
G-1-M,2,G,1,M,39.42905052,50.316506
G-1-T,2,G,1,T,50.87648956,42.19107906
G-34-K,2,G,34,K,57.14495688,41.78625688
H-1-M,2,H,1,M,41.00400491,49.97046778
I-26-B,2,I,26,B,,
K-9-O,2,K,9,O,37.0159238,45.63695217
K-9-OA,2,K,9,OA,38.95548874,44.91677536
K-9-Q,2,K,9,Q,12.93869754,45.56088186
K-9-T,2,K,9,T,42.1501586,46.16787639
K-9-TA,2,K,9,TA,40.35652371,45.76077985
M-7-B,2,M,7,B,,
M-9-B,2,M,9,B,,
M-26-B,2,M,26,B,,
O-9-B,2,O,9,B,,
P-9-J,2,P,9,J,23.16787153,49.7150583
S-1-K,2,S,1,K,56.6776032,45.98404663
S-1-L,2,S,1,L,49.57030363,47.59762848
S-1-M,2,S,1,M,46.34684585,49.68012069
S-2-K,2,S,2,K,61.94157454,44.90171733
S-3-M,2,S,3,M,36.60359927,51.35906035
S-4-K,2,S,4,K,55.55665152,43.91691708
S-4-M,2,S,4,M,43.179548,50.75073188
T-9-L,2,T,9,L,52.22311558,46.30156499
T-9-M,2,T,9,M,38.71552018,47.36336256
T-9-O,2,T,9,O,35.51311378,48.85472635
T-9-Q,2,T,9,Q,14.71465838,46.74516222
T-9-QA,2,T,9,QA,16.84295001,48.14328947
TB-9A-K,2,TB,9A,K,62.69310268,46.89475278
C-5-E,3,C,5,E,73.4295826,37.03045945
D-9-H,3,D,9,H,64.47189041,31.701976
G-1-A,3,G,1,A,82.4619245,41.41381003
G-1-E,3,G,1,E,68.85180881,31.87093857
G-1-H,3,G,1,H,62.39650877,34.32994789
G-34-E,3,G,34,E,66.21279847,33.55009886
G-34-H,3,G,34,H,63.11863661,37.34939938
L-21-E,3,L,21,E,72.5512876,34.59984394
P-9-E,3,P,9,E,66.8996275,35.68678514
R-18-B,3,R,18,B,,
S-1-E,3,S,1,E,70.73364245,37.71799052
S-1-H,3,S,1,H,66.35302741,39.27080218
S-3-E,3,S,3,E,70.77753672,35.49165551
S-4-E,3,S,4,E,70.39997973,33.03099193
S-4-H,3,S,4,H,62.93466327,41.33630843
B-5-B,4,B,5,B,,
F-4-B,4,F,4,B,,
G-34-N,4,G,34,N,41.80044928,29.30965247
G-34-S,4,G,34,S,46.0948981,37.92190478
G-34-T,4,G,34,T,43.90509701,39.75286269
G-34-U,4,G,34,U,36.82096607,29.44644221
G-34-V,4,G,34,V,42.18135303,33.29144809
G-34-W,4,G,34,W,39.74497666,31.10686011
G-34-Y,4,G,34,Y,40.00080979,27.20760943
G-34-Z,4,G,34,Z,48.1215359,19.72008635
K-9-Z,4,K,9,Z,50.2357382,22.00849664
K-9-ZE,4,K,9,ZE,46.94139243,21.69095617
L-12-T,4,L,12,T,51.63478972,40.06843766
S-3-T,4,S,3,T,46.52777361,43.57252737
S-4-P,4,S,4,P,55.38933514,21.84444913
S-4-T,4,S,4,T,40.13001612,41.927659
S-4-W,4,S,4,W,45.07523288,34.47158034
S-4-X,4,S,4,X,46.06994815,11.97487747
S-4-Y,4,S,4,Y,37.37865891,25.71959551
S-4-Z,4,S,4,Z,44.31525567,20.25232667
S-8-P,4,S,8,P,54.65441696,20.09061385
J-11-A,5,J,11,A,82.55132209,45.04245851
Q-11-A,5,Q,11,A,79.55437985,41.56573432
Q-11-B,5,Q,11,B,,
Q-11-K,5,Q,11,K,59.89369981,46.73937935
U-11-A,5,U,11,A,81.30871547,43.34262998
W-22-BV,6,W,22,BV,35.96677968,8.267578548
E-91-QV,7,E,91,QV,39.08956319,8.949376076
